source_type;source_system;schema_name;table_name;column_name;ordinal_position;is_nullable;data_type;character_maximum_length;numeric_precision;numeric_scale;datetime_precision;active_ind;business_name;window_date_column;filter_column;business_key_ind;distinct_ind;special_ind;comment
db;api;api;g_account;id;1;YES;int4;;32;0;;1;;;;1;0;0;
db;api;api;g_account;created;2;YES;timestamp;;;;6;1;;;;0;0;0;
db;api;api;g_account;created_by;3;YES;varchar;100;;;;0;;;;0;0;0;
db;api;api;g_account;modified;4;YES;timestamp;;;;6;1;;;;0;0;0;
db;api;api;g_account;modified_by;5;YES;varchar;100;;;;0;;;;0;0;0;
db;api;api;g_account;status_id;6;NO;int4;;32;0;;1;;;;0;0;0;
db;api;api;g_account;user_id;7;NO;int4;;32;0;;1;;;;0;0;0;
db;api;api;g_account;partner_id;8;NO;int4;;32;0;;1;;;;0;0;0;
db;api;api;g_account;ext_partner_ref;9;NO;varchar;500;;;;0;;;;0;0;0;
db;api;api;g_account;ref_id;10;YES;varchar;100;;;;1;;;;0;0;0;
db;api;api;g_account_attribute;id;1;NO;int4;;32;0;;1;;;;1;0;0;
db;api;api;g_account_attribute;account_attribute_group_id;2;NO;int4;;32;0;;1;;;;0;0;0;
db;api;api;g_account_attribute;account_attribute_name_id;3;NO;int4;;32;0;;1;;;;0;0;0;
db;api;api;g_account_attribute_group;id;1;NO;int4;;32;0;;1;;;;1;0;0;
db;api;api;g_account_attribute_group;name;2;NO;varchar;20;;;;1;;;;0;0;0;
db;api;api;g_account_attribute_name;id;1;NO;int4;;32;0;;1;;;;1;0;0;
db;api;api;g_account_attribute_name;name;2;NO;varchar;20;;;;1;;;;0;0;0;
db;api;api;g_account_attribute_value;id;1;NO;bigint;;64;0;;1;;;;1;0;0;
db;api;api;g_account_attribute_value;account_id;2;YES;integer;;32;0;;1;;;;0;0;0;
db;api;api;g_account_attribute_value;account_attribute_id;3;NO;integer;;32;0;;1;;;;0;0;0;
db;api;api;g_account_attribute_value;value;4;NO;character varying;100;;;;1;;;;0;0;0;
db;api;api;g_account_attribute_value;created;5;YES;timestamp without time zone;;;;6;0;;;;0;0;0;
db;api;api;g_account_attribute_value;created_by;6;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_account_attribute_value;modified;7;YES;timestamp without time zone;;;;6;1;;;;0;0;0;
db;api;api;g_account_attribute_value;modified_by;8;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_account_partner_attribute;id;1;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_account_partner_attribute;partner_id;2;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_account_partner_attribute;account_attribute_id;3;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_account_transactions;id;1;NO;bigint;;64;0;;0;;;;0;0;0;
db;api;api;g_account_transactions;ref_id;2;YES;character varying;200;;;;0;;;;0;0;0;
db;api;api;g_account_transactions;created;3;YES;timestamp without time zone;;;;6;0;;;;0;0;0;
db;api;api;g_account_transactions;created_by;4;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_account_transactions;modified;5;YES;timestamp without time zone;;;;6;0;;;;0;0;0;
db;api;api;g_account_transactions;modified_by;6;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_account_transactions;account_id;7;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_account_transactions;transaction_id;8;YES;bigint;;64;0;;0;;;;0;0;0;
db;api;api;g_account_transactions;name;9;NO;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_account_transactions;amount;10;YES;bigint;;64;0;;0;;;;0;0;0;
db;api;api;g_account_transactions;country_currency_id;11;YES;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_account_transactions;description;12;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_account_transactions;recipient_iban;13;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_account_transactions;recipient_bic;14;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_account_transactions;recipient_name;15;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_account_transactions;end_to_end_id;16;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_address;id;1;NO;integer;;32;0;;1;;;;1;0;0;
db;api;api;g_address;created;2;YES;timestamp without time zone;;;;6;0;;;;0;0;0;
db;api;api;g_address;created_by;3;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_address;modified;4;YES;timestamp without time zone;;;;6;1;;;;0;0;0;
db;api;api;g_address;modified_by;5;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_address;user_id;6;YES;integer;;32;0;;1;;;;0;0;0;
db;api;api;g_address;address_type_id;7;NO;integer;;32;0;;1;;;;0;0;0;
db;api;api;g_address;country_state_id;8;YES;integer;;32;0;;1;;;;0;0;0;
db;api;api;g_address;line_1;9;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_address;line_2;10;YES;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_address;postal_code;11;YES;character varying;100;;;;1;;;;0;0;0;
db;api;api;g_address;city;12;YES;character varying;100;;;;1;;;;0;0;0;
db;api;api;g_address_proof_type;id;1;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_address_proof_type;address_proof_type;2;NO;text;;;;;0;;;;0;0;0;
db;api;api;g_address_type;id;1;NO;integer;;32;0;;1;;;;1;0;0;
db;api;api;g_address_type;name;2;NO;character varying;20;;;;1;;;;0;0;0;
db;api;api;g_all_booking_view;id;1;YES;text;;;;;0;;;;0;0;0;
db;api;api;g_all_booking_view;account_id;2;YES;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_all_booking_view;timestamp;3;YES;timestamp without time zone;;;;6;0;;;;0;0;0;
db;api;api;g_all_booking_view;search_string;4;YES;character varying;5000;;;;0;;;;0;0;0;
db;api;api;g_all_booking_view;booking_id;5;YES;bigint;;64;0;;0;;;;0;0;0;
db;api;api;g_all_booking_view;reservation_id;6;YES;bigint;;64;0;;0;;;;0;0;0;
db;api;api;g_all_booking_view;transaction_id;7;YES;bigint;;64;0;;0;;;;0;0;0;
db;api;api;g_atm_withdrawal_month_counter;year_month;1;NO;date;;;;0;0;;;;0;0;0;
db;api;api;g_atm_withdrawal_month_counter;counter;2;YES;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_atm_withdrawal_month_counter;card_id;3;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_atm_withdrawal_month_counter;creation_date;4;NO;timestamp with time zone;;;;4;0;;;;0;0;0;
db;api;api;g_atm_withdrawal_month_counter;modified;5;NO;timestamp with time zone;;;;4;0;;;;0;0;0;
db;api;api;g_atm_withdrawal_month_counter;account_id;6;YES;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_attribute;id;1;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_attribute;datatype_id;2;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_attribute;name;3;NO;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_attribute;description;4;NO;character varying;100;;;;0;;;;0;0;0;
db;api;api;g_authority;id;1;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_authorization;id;1;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_authorization;ref_id;2;YES;text;;;;;0;;;;0;0;0;
db;api;api;g_authorization;created;3;YES;timestamp without time zone;;;;6;0;;;;0;0;0;
db;api;api;g_authorization;created_by;4;YES;text;;;;;0;;;;0;0;0;
db;api;api;g_authorization;modified;5;YES;timestamp without time zone;;;;6;0;;;;0;0;0;
db;api;api;g_authorization;modified_by;6;YES;text;;;;;0;;;;0;0;0;
db;api;api;g_authorization;account_id;7;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_authorization;external_ref;8;YES;text;;;;;0;;;;0;0;0;
db;api;api;g_authorization;authorization_type_id;9;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_authorization;status_id;10;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_authorization;updated_at;11;YES;timestamp without time zone;;;;6;0;;;;0;0;0;
db;api;api;g_authorization;url;12;YES;text;;;;;0;;;;0;0;0;
db;api;api;g_authorization;response_body;13;YES;text;;;;;0;;;;0;0;0;
db;api;api;g_authorization;response_code;14;YES;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_authorization_type;id;1;NO;integer;;32;0;;0;;;;0;0;0;
db;api;api;g_authorization_type;name;2;NO;character varying;255;;;;0;;;;0;0;0;
db;api;api;g_authorization_type;description;3;YES;character varying;255;;;;0;;;;0;0;0;
db;api;api;g_booking_category;id;1;NO;int4;;32;0;;1;;;;1;0;0;
db;api;api;g_booking_category;tomorrow_category;2;YES;text;;;;;1;;;;0;0;0;
db;api;api;g_booking_category;identifier;3;YES;text;;;;;1;;;;0;0;0;
db;api;api;g_booking_category;category_enum;4;YES;text;;;;;1;;;;0;0;0;
db;api;api;g_booking_category_mapping;id;1;NO;int8;;64;0;;1;;;;1;0;0;
db;api;api;g_booking_category_mapping;ref_id;2;YES;text;;;;;0;;;;0;0;0;
db;api;api;g_booking_category_mapping;created;3;YES;timestamp;;;;6;0;;;;0;0;0;
db;api;api;g_booking_category_mapping;created_by;4;YES;text;;;;;0;;;;0;0;0;
db;api;api;g_booking_category_mapping;modified;5;YES;timestamp;;;;6;1;;;;0;0;0;
db;api;api;g_booking_category_mapping;modified_by;6;YES;text;;;;;0;;;;0;0;0;
db;api;api;g_booking_category_mapping;booking_category_mapping_type_id;7;NO;int4;;32;0;;1;;;;0;0;0;
db;api;api;g_booking_category_mapping;booking_category_id;8;NO;int4;;32;0;;1;;;;0;0;0;
