source_type;source_system;schema_name;table_name;column_name;ordinal_position;is_nullable;data_type;character_maximum_length;numeric_precision;numeric_scale;datetime_precision;active_ind;business_key_ind;special_ind;comment
db;api;api;dat_g_account;id;1;YES;int;;32;0;;1;1;0;
db;api;api;dat_g_account;created;2;YES;timestamp;;;;6;1;0;0;
db;api;api;dat_g_account;created_by;3;YES;varchar;100;;;;0;0;0;
db;api;api;dat_g_account;modified;4;YES;timestamp;;;;6;1;0;0;
db;api;api;dat_g_account;modified_by;5;YES;varchar;100;;;;0;0;0;
db;api;api;dat_g_account;status_id;6;NO;int;;32;0;;1;0;0;
db;api;api;dat_g_account;user_id;7;NO;int;;32;0;;1;0;0;
db;api;api;dat_g_account;partner_id;8;NO;int;;32;0;;1;0;0;
db;api;api;dat_g_account;ext_partner_ref;9;NO;varchar;500;;;;0;0;0;
db;api;api;dat_g_account;ref_id;10;YES;varchar;100;;;;1;0;0;
db;api;api;dat_g_address;id;1;NO;int;;32;0;;1;1;0;
db;api;api;dat_g_address;created;2;YES;timestamp;;;;6;0;0;0;
db;api;api;dat_g_address;created_by;3;YES;varchar;100;;;;0;0;0;
db;api;api;dat_g_address;modified;4;YES;timestamp;;;;6;1;0;0;
db;api;api;dat_g_address;modified_by;5;YES;varchar;100;;;;0;0;0;
db;api;api;dat_g_address;user_id;6;YES;int;;32;0;;1;0;0;
db;api;api;dat_g_address;address_type_id;7;NO;int;;32;0;;1;0;0;
db;api;api;dat_g_address;country_state_id;8;YES;int;;32;0;;1;0;0;
db;api;api;dat_g_address;line_1;9;YES;varchar;100;;;;0;0;0;
db;api;api;dat_g_address;line_2;10;YES;varchar;100;;;;0;0;0;
db;api;api;dat_g_address;postal_code;11;YES;varchar;100;;;;1;0;0;
db;api;api;dat_g_address;city;12;YES;varchar;100;;;;1;0;0;
db;api;api;dat_g_card;id;1;NO;int;;32;0;;1;1;0;
db;api;api;dat_g_card;ref_id;2;YES;varchar;200;;;;1;0;0;
db;api;api;dat_g_card;created;3;YES;timestamp;;;;6;1;0;0;
db;api;api;dat_g_card;created_by;4;YES;varchar;100;;;;0;0;0;
db;api;api;dat_g_card;modified;5;YES;timestamp;;;;6;1;0;0;
db;api;api;dat_g_card;modified_by;6;YES;varchar;100;;;;0;0;0;
db;api;api;dat_g_card;external_ref;7;YES;varchar;500;;;;0;0;0;
db;api;api;dat_g_card;account_id;8;NO;int;;32;0;;1;0;0;
db;api;api;dat_g_card;card_type_id;9;NO;int;;32;0;;1;0;0;
db;api;api;dat_g_card;status_id;10;NO;int;;32;0;;1;0;0;
db;api;api;dat_g_card;card_representation_id;11;YES;int;;32;0;;1;0;0;
db;api;api;dat_g_card;expiration_date;12;YES;date;;;;0;1;0;0;
db;api;api;dat_g_card;person_ext_ref;13;YES;varchar;500;;;;0;0;0;
db;api;api;dat_g_card;account_ext_ref;14;YES;varchar;500;;;;0;0;0;
db;api;api;dat_g_card;business_ext_ref;15;YES;varchar;500;;;;0;0;0;
db;api;api;dat_g_card;pin_set;16;YES;bool;;;;;0;0;0;
db;api;api;dat_g_users;id;1;NO;int;;32;0;;1;1;0;
db;api;api;dat_g_users;created;2;YES;timestamp;;;;6;1;0;0;
db;api;api;dat_g_users;created_by;3;YES;varchar;100;;;;0;0;0;
db;api;api;dat_g_users;modified;4;YES;timestamp;;;;6;1;0;0;
db;api;api;dat_g_users;modified_by;5;YES;varchar;100;;;;0;0;0;
db;api;api;dat_g_users;status_id;6;NO;int;;32;0;;1;0;0;
db;api;api;dat_g_users;username;7;YES;varchar;100;;;;1;0;0;
db;api;api;dat_g_users;password;8;YES;varchar;100;;;;0;0;0;
db;api;api;dat_g_users;enabled;9;NO;bool;;;;;1;0;0;
db;api;api;dat_g_users;external_ref;10;YES;varchar;200;;;;0;0;0;
db;api;api;dat_g_users;ref_id;11;YES;varchar;200;;;;1;0;0;
db;api;api;dat_g_users;initial_tax_country;12;YES;varchar;3;;;;0;0;0;
db;api;api;dat_g_users;initial_tax_number;13;YES;varchar;50;;;;0;0;0;
db;api;api;dat_g_users;onboarding_version;14;YES;int;;32;0;;0;0;0;
db;api;api;dat_g_users;locale_id;15;YES;int;;32;0;;0;0;0;
db;api;api;dat_g_users;original_username;16;YES;varchar;100;;;;0;0;0;
